CATEGORY,TYPE,DETAIL,REQUEST TYPE,Count
Data Not Available,Data Not Available,Data Not Available,Public Health-Disease Control-All,2
Data Not Available,Data Not Available,Data Not Available,Public Health-Food Establishment-Restaurant,1
Data Not Available,Data Not Available,Data Not Available,Public Health-Services-Healthy Homes Information,1
Data Not Available,Data Not Available,Data Not Available,Public Safety-Fire-Hazardous materials,1
Data Not Available,Data Not Available,Data Not Available,Public Safety-Fire-Question / Feedback,1
Data Not Available,Data Not Available,Data Not Available,Public Safety-Police-Homeless camp,1
Data Not Available,Data Not Available,Data Not Available,Public Safety-Police-Other,2
Data Not Available,Data Not Available,Data Not Available,Sewer-Sinkhole-Street,1
Data Not Available,Data Not Available,Data Not Available,Sidewalks / Curbs / Ditch-Obstructed / Closure-Blocked,1
Data Not Available,Data Not Available,Data Not Available,Storm / Sewer-Storm Water Referral-Repair,1
Data Not Available,Data Not Available,Data Not Available,Streets / Roadways / Alleys-Cut / Permit-District 2,3
Data Not Available,Data Not Available,Data Not Available,Streets / Roadways / Alleys-Plate-Missing / Displaced,1
Data Not Available,Data Not Available,Data Not Available,Streets / Roadways / Alleys-Street Services-Street Permit Research,1
Data Not Available,Data Not Available,Data Not Available,Trash / Recycling-Dumping-ROW Central,1
Data Not Available,Data Not Available,Data Not Available,Trash / Recycling-Dumping-ROW South,1
Data Not Available,Data Not Available,Data Not Available,Trees-Removal-Tree down,1
Data Not Available,Data Not Available,Data Not Available,Trees-Trimming-Streetlight,2
Data Not Available,Data Not Available,Data Not Available,Trees-Trimming-Tree Limbs,1
Data Not Available,Data Not Available,Data Not Available,Vehicles / Parking-Abandoned On Street-Car,2
Data Not Available,Data Not Available,Data Not Available,Water-Leak-Ice Due to Leak,1
Data Not Available,Data Not Available,Data Not Available,Water-No Water / Pressure-No Water,1
Data Not Available,Data Not Available,Data Not Available,Water-Pipeline Referral-Pipeline/Restoration Issues,5
Data Not Available,Data Not Available,Data Not Available,Water-Pipeline Referral-Water Main,1
Data Not Available,Data Not Available,Data Not Available,Web SR - Property Maintenance - Neighborhoods,3
Data Not Available,Data Not Available,Data Not Available,Web SR - Streetlights,4
Government,311 Administration,Appearance / Speaker,Government-311 Administration-Appearance / Speaker,19
Government,311 Administration,Document Request,Government-311 Administration-Document Request,2
Government,311 Administration,Feedback,Government-311 Administration-Feedback,3
Government,311 Administration,Field Investigation,Government-311 Administration-Field Investigation,12
Government,311 Administration,Lack of Information,Government-311 Administration-Lack of information,18
Government,311 Administration,Review,Government-311 Administration-Review,4
Government,ADA,Sidewalks / Curbs,Government-ADA-Sidewalks / Curbs,13
Government,City Manager‘s Office,All,Government-City Manager‘s Office-All,14
Government,City Manager‘s Office,Compass KC Assistance,Government-City Managers Office-Compass KC,40
Government,Communications,KCMore,Government-Communications-KCMore,1
Government,Finance,Collection Notice,Government-Finance-Collection Notice,1
Government,Finance,Feedback,Government-Finance-Feedback,1
Government,Finance,Tax,Government-Finance-Tax,2
Government,IT / Websites,Other Websites - Tech,Government-IT / Websites-Other Websites - Tech,1
Government,IT / Websites,Parks Website,Government-IT / Websites-Parks Website,1
Government,IT / Websites,Water Website,Government-IT / Websites-Water Website,15
Government,Law,Other Litigations,Government-Law-Other Litigations,1
Government,Law,Property Damage,Government-Law-Property Damage,1
Government,Law,Vehicle Damage,Government-Law-Vehicle Damage,1
Government,Mayor‘s Office,Feedback,Government-Mayor‘s Office-Feedback,16
Government,NHS (Neighborhood Housing Services),Feedback,Government-NHS (Neighborhood Housing Services)-Feedback,28
Government,NHS (Neighborhood Housing Services),Home Repair,Government-NHS (Neighborhood Housing Services)-Home Repair,61
Government,NHS (Neighborhood Housing Services),No Known Property Owner,Government-NHS (Neighborhood Housing Services)-No Known Property Owner,11
Government,NHS (Neighborhood Housing Services),Paint Program,Government-NHS (Neighborhood Housing Services)-Paint Program,11
Government,NHS (Neighborhood Housing Services),Weatherization Program,Government-NHS (Neighborhood Housing Services)-Weatherization Program,3
Government,Not Provided By KCMO,211,Government-Not Provided By KCMO-211,10
Government,Not Provided By KCMO,County,Government-Not Provided By KCMO-County,30
Government,Not Provided By KCMO,KCPD,Government-Not Provided By KCMO-KCPD,280
Government,Not Provided By KCMO,MODOT,Government-Not Provided By KCMO-MODOT,893
Government,Not Provided By KCMO,State,Government-Not Provided By KCMO-State,20
Government,Public Works,Call Back Request,Government-Public Works-Call Back Request,6
Government,Public Works,Feedback,Government-Public Works-Feedback,11
Government,Public Works,Question,Government-Public Works-Question,14
Government,Public Works,Service Issue / Problem,Government-Public Works-Service Issue / Problem,11
Government,Security / Safety,Employee Behavior,Government-Security / Safety-Employee Behavior,4
Government,Security / Safety,How's My Driving,Government-Security / Safety-How's My Driving,32
Lights / Signals,Services,Call Back Request,Lights / Signals-Services-Call Back Request,12
Lights / Signals,Services,Feedback,Lights / Signals-Services-Feedback,38
Lights / Signals,Services,Question,Lights / Signals-Services-Question,19
Lights / Signals,Services,Service Issue / Problem,Lights / Signals-Services-Service Issue / Problem,55
Lights / Signals,Street Light,1 Light Out,Lights / Signals-Street Light-1 light out,2628
Lights / Signals,Street Light,2 to 4 Lights Out,Lights / Signals-Street Light-2 to 4 lights out,770
Lights / Signals,Street Light,5+ Lights Out,Lights / Signals-Street Light-5+ lights out,834
Lights / Signals,Street Light,Blinking,Lights / Signals-Street Light-Blinking,881
Lights / Signals,Street Light,Burning During The Day,Lights / Signals-Street Light-Burning during the day,411
Lights / Signals,Street Light,Graffiti,Lights / Signals-Street Light-Graffiti,47
Lights / Signals,Street Light,New/Remove Light,Lights / Signals-Street Light-New/Remove Light,76
Lights / Signals,Street Light,Other Light Issue,Lights / Signals-Street Light-Other Light Issue,558
Lights / Signals,Street Light,Parks Maintained,Lights / Signals-Street Light-Parks Maintained,31
Lights / Signals,Street Light,Pole Down or Leaning,Lights / Signals-Street Light-Pole down or leaning,526
Lights / Signals,Street Light,Wire Down / Hanging Arm,Lights / Signals-Street Light-Wire Down / Hanging Arm,161
Lights / Signals,Traffic Signal,Audio,Lights / Signals-Traffic Signal-Audio,16
Lights / Signals,Traffic Signal,Graffiti,Lights / Signals-Traffic Signal-Graffiti,4
Lights / Signals,Traffic Signal,New Signal Request,Lights / Signals-Traffic Signal-New Signal Request,153
Lights / Signals,Traffic Signal,Pedestrian / Walkway,Lights / Signals-Traffic Signal-Pedestrian / Walkway,357
Lights / Signals,Traffic Signal,Signal Flashing,Lights / Signals-Traffic Signal-Signal flashing,456
Lights / Signals,Traffic Signal,Signal Malfunction,Lights / Signals-Traffic Signal-Signal malfunction,749
Lights / Signals,Traffic Signal,Signal Out,Lights / Signals-Traffic Signal-Signal out,887
Lights / Signals,Traffic Signal,Signal Pole Damage,Lights / Signals-Traffic Signal-Signal pole damage,306
Lights / Signals,Traffic Signal,Signal Timing,Lights / Signals-Traffic Signal-Signal timing,424
Mowing / Weeds,Alley,District 2,Mowing / Weeds-Alley-District 2,98
Mowing / Weeds,Alley,District 3,Mowing / Weeds-Alley-District 3,13
Mowing / Weeds,Blvd / Pkwy,Central,Mowing / Weeds-Blvd / Pkwy-Central,65
Mowing / Weeds,Blvd / Pkwy,North,Mowing / Weeds-Blvd / Pkwy-North,24
Mowing / Weeds,Blvd / Pkwy,South,Mowing / Weeds-Blvd / Pkwy-South,42
Mowing / Weeds,Paper Street,District 1,Mowing / Weeds-Paper Street-District 1,1
Mowing / Weeds,Paper Street,District 2,Mowing / Weeds-Paper Street-District 2,9
Mowing / Weeds,Paper Street,District 3,Mowing / Weeds-Paper Street-District 3,9
Mowing / Weeds,Parks,Central,Mowing / Weeds-Parks-Central,49
Mowing / Weeds,Parks,Feedback,Mowing / Weeds-Parks-Feedback,5
Mowing / Weeds,Parks,North,Mowing / Weeds-Parks-North,90
Mowing / Weeds,Parks,South,Mowing / Weeds-Parks-South,32
Mowing / Weeds,Private / Commercial,Lot - Structure,Property Violations,6020
Mowing / Weeds,Private / Commercial,Lot - Vacant,Property Violations,1877
Mowing / Weeds,Public Property,City Facility,Mowing / Weeds-Public Property-City Facility,14
Mowing / Weeds,Public Property,City Vacant Lot,Mowing / Weeds-Public Property-City Vacant Lot,164
Mowing / Weeds,Public Property,Land Bank,Mowing / Weeds-Public Property-Land Bank,568
Mowing / Weeds,Right of Way (ROW),On Demand (PW),Mowing / Weeds-Right of Way (ROW)-On Demand (PW),611
Mowing / Weeds,Right of Way (ROW),Region - Central,Mowing / Weeds-Right of Way (ROW)-Region - Central,60
Mowing / Weeds,Right of Way (ROW),Region - North,Mowing / Weeds-Right of Way (ROW)-Region - North,174
Mowing / Weeds,Right of Way (ROW),Region - South,Mowing / Weeds-Right of Way (ROW)-Region - South,142
Mowing / Weeds,Visibility,Intersection,Mowing / Weeds - Visibility - Intersection,273
Parks & Recreation,Athletics,Fields - Central,Parks & Recreation-Athletics-Fields – Central,10
Parks & Recreation,Athletics,Fields - North,Parks & Recreation-Athletics-Fields – North,1
Parks & Recreation,Athletics,Fields - South,Parks & Recreation-Athletics-Fields – South,6
Parks & Recreation,Athletics,Programming,Parks & Recreation-Athletics-Programming,1
Parks & Recreation,Community Center,Brush Creek CC,Parks & Recreation-Community Center-Brush Creek CC,2
Parks & Recreation,Community Center,Gregg / Klice CC,Parks & Recreation-Community Center-Gregg/Klice CC,16
Parks & Recreation,Community Center,Hillcrest CC,Parks & Recreation-Community Center-Hillcrest CC,3
Parks & Recreation,Community Center,Kansas City North CC,Parks & Recreation-Community Center-Kansas City North CC,1
Parks & Recreation,Community Center,Line Creek CC,Parks & Recreation-Community Center-Line Creek CC,3
Parks & Recreation,Community Center,Marlborough CC,Parks & Recreation-Community Center-Marlborough CC,3
Parks & Recreation,Community Center,Southeast CC,Parks & Recreation-Community Center-Southeast CC,12
Parks & Recreation,Community Center,Tony Aguirre CC,Parks & Recreation-Community Center-Tony Aguirre CC,6
Parks & Recreation,Community Center,Westport Roanoke CC,Parks & Recreation-Community Center-Westport Roanoke CC,4
Parks & Recreation,Facilities / Attractions,Aquatics,Parks & Recreation-Facilities / Attractions-Aquatics,13
Parks & Recreation,Facilities / Attractions,Bruce Watkins Cultural Center,Parks & Recreation-Facilities / Attractions-Bruce Watkins Cultural Center,1
Parks & Recreation,Facilities / Attractions,Fountains,Parks & Recreation-Facilities / Attractions-Fountains,53
Parks & Recreation,Facilities / Attractions,Lakeside Nature Center,Parks & Recreation-Facilities / Attractions-Lakeside Nature Center,1
Parks & Recreation,Facilities / Attractions,Other,Parks & Recreation-Facilities / Attractions-Other,12
Parks & Recreation,Facilities / Attractions,Shelter - Central,Parks & Recreation-Facilities / Attractions-Shelter – Central,2
Parks & Recreation,Facilities / Attractions,Shelter - South,Parks & Recreation-Facilities / Attractions-Shelter – South,9
Parks & Recreation,Graffiti,Central,Parks & Recreation-Graffiti-Central,89
Parks & Recreation,Graffiti,North,Parks & Recreation-Graffiti-North,6
Parks & Recreation,Graffiti,South,Parks & Recreation-Graffiti-South,10
Parks & Recreation,Landscaping,All,Parks & Recreation-Landscaping-All,9
Parks & Recreation,Landscaping,Central (Dept. Use),Parks & Recreation-Landscaping-Central (Dept. Use),3
Parks & Recreation,Landscaping,North (Dept. Use),Parks & Recreation-Landscaping-North (Dept. Use),2
Parks & Recreation,Landscaping,South (Dept. Use),Parks & Recreation-Landscaping-South (Dept. Use),4
Parks & Recreation,Park Maintenance,Central,Parks & Recreation-Park Maintenance-Central,928
Parks & Recreation,Park Maintenance,North,Parks & Recreation-Park Maintenance-North,471
Parks & Recreation,Park Maintenance,South,Parks & Recreation-Park Maintenance-South,569
Parks & Recreation,Services,Call Back Request,Parks & Recreation-Services-Call Back Request,15
Parks & Recreation,Services,Feedback,Parks & Recreation-Services-Feedback,93
Parks & Recreation,Services,Question,Parks & Recreation-Services-Question,44
Parks & Recreation,Services,Service Issue / Problem,Parks & Recreation-Services-Service Issue / Problem,99
Parks & Recreation,Trails,Central,Parks & Recreation-Trails-Central,36
Parks & Recreation,Trails,North,Parks & Recreation-Trails-North,47
Parks & Recreation,Trails,South,Parks & Recreation-Trails-South,54
Property / Buildings / Construction,Construction Issue/Concern,Development Plans - Landscaping,Prop/Build/Construct-Construction Issue/Concern-Development Plans -Landscaping,26
Property / Buildings / Construction,Construction Issue/Concern,Erosion - New Construction,Prop/Build/Construct-Construction Issue/Concern-Erosion - New Construction,45
Property / Buildings / Construction,Construction Issue/Concern,Large Amount of Demolition Debris,Prop/Build/Construct-Construction Issue/Concern-Large Amount of Demo Debris,9
Property / Buildings / Construction,Construction Issue/Concern,Mud / Silt on Street,Prop/Build/Construct-Construction Issue/Concern-Mud / Silt on street,91
Property / Buildings / Construction,Construction Issue/Concern,Other,Prop/Build/Construct-Construction Issue/Concern-Other,160
Property / Buildings / Construction,Construction Issue/Concern,Work Without Permit,Prop/Build/Construct-Construction Issue/Concern-Work without permit,680
Property / Buildings / Construction,Dangerous Building,Emergency,Prop/Build/Construct-Dangerous Building-Emergency,55
Property / Buildings / Construction,Dangerous Building,Open To Entry,Prop/Build/Construct-Dangerous Building-Open to entry,2412
Property / Buildings / Construction,Dangerous Building,Standard,Prop/Build/Construct-Dangerous Building-On list,489
Property / Buildings / Construction,Elevator Inspection,City Facility,Prop/Build/Construct - Elevator Inspection - City Facility,2
Property / Buildings / Construction,Elevator Inspection,Private / Commercial,Prop/Build/Construct-Elevator Inspection-Private / Commercial,45
Property / Buildings / Construction,Land Use / Zoning Issue,Business In A Residence,Prop/Build/Construct-Land Use / Zoning Issue-Business in a residence,485
Property / Buildings / Construction,Land Use / Zoning Issue,Excessive Yard Sale,Prop/Build/Construct-Land Use / Zoning Issue-Excessive Yard Sale,43
Property / Buildings / Construction,Land Use / Zoning Issue,Floodplan Management,Prop/Build/Construct-Land Use / Zoning Issue-Floodplan Management,5
Property / Buildings / Construction,Land Use / Zoning Issue,Miscellaneous Zoning,Prop/Build/Construct - Land Use / Zoning - Miscellaneous Zoning,91
Property / Buildings / Construction,Land Use / Zoning Issue,Number of Dwelling Units,Prop/Build/Construct-Land Use / Zoning Issue-Number of Dwelling Units,27
Property / Buildings / Construction,Land Use / Zoning Issue,Number of Residents,Prop/Build/Construct-Land Use / Zoning Issue-Number of Residents,79
Property / Buildings / Construction,Land Use / Zoning Issue,Short Term Rental,Prop/Build/Construct-Land Use / Zoning-Short Term Rental,154
Property / Buildings / Construction,Land Use / Zoning Issue,Unapproved Land Use,Prop/Build/Construct - Land Use / Zoning - Unapproved Land Use,127
Property / Buildings / Construction,Parking Lot,Improper Surface,Prop/Build/Construct-Parking Lot - Surface,21
Property / Buildings / Construction,Parking Lot,Number Parking Spaces,Prop/Build/Construct-Parking Lot-Parking Spaces,6
Property / Buildings / Construction,Property Maintenance,DART,Prop/Build/Construct-Property Maintenance-DART,26
Property / Buildings / Construction,Property Maintenance,Fence Issue,Property Violations,319
Property / Buildings / Construction,Property Maintenance,Graffiti,Property Violations,402
Property / Buildings / Construction,Property Maintenance,Land Bank,Prop/Build/Construct-Property Maintenance-Land Bank,229
Property / Buildings / Construction,Property Maintenance,Land Bank (Services),Prop/Build/Construct-Property Maintenance-Land Bank (Services),6
Property / Buildings / Construction,Property Maintenance,Main Structure,Property Violations,5734
Property / Buildings / Construction,Property Maintenance,No Utilities,Prop/Build/Construct-Property Maintenance-No Utilities,72
Property / Buildings / Construction,Property Maintenance,Northeast Alliance,Prob/Build/Construct-Property Maintenance-Northeast,58
Property / Buildings / Construction,Property Maintenance,Northland Neighborhoods INC,Prop/Build/Construct-Property Maintenance-NNI,6633
Property / Buildings / Construction,Property Maintenance,Other Property Issue,Property Violations,8309
Property / Buildings / Construction,Property Maintenance,Secondary Structure,Property Violations,93
Property / Buildings / Construction,Property Maintenance,South Kansas City Alliance,Prop/Build/Construct-Property Maintenance-SKCA,339
Property / Buildings / Construction,Services (CPD),Call Back Request,Prop/Build/Construct-Services (CPD)-Call Back Request,28
Property / Buildings / Construction,Services (CPD),Post Demo Issues,Prop/Build/Construct-Services (CPD)-Post Demo Issues,3
Property / Buildings / Construction,Services (CPD),Question,Prop/Build/Construct-Services (CPD)-Question,16
Property / Buildings / Construction,Services (CPD),Service Issue / Problem,Prop/Build/Construct-Services (CPD)-Service Issue / Problem,14
Property / Buildings / Construction,Services (NPD),Call Back Request,Prop/Build/Construct-Services (NPD)-Call Back Request,9
Property / Buildings / Construction,Services (NPD),Feedback,Prop/Build/Construct-Services (NPD)-Feedback,11
Property / Buildings / Construction,Services (NPD),Hazardous Structure,Prop/Build/Construct-Services (NPD)-Hazardous Structure,1
Property / Buildings / Construction,Services (NPD),Other Priority Issue,Property Violations,2
Property / Buildings / Construction,Services (NPD),Question,Prop/Build/Construct-Services (NPD)-Question,13
Property / Buildings / Construction,Services (NPD),Service Issue / Problem,Prop/Build/Construct-Services (NPD)-Service Issue / Problem,19
Public Health,Disease Control,All,Public Health-Disease Control-All,3370
Public Health,Disease Control,Business Question on Order,Public Health-Disease Control-Business Question,17
Public Health,Food Establishment,Catering,Public Health-Food Establishment-Catering,6
Public Health,Food Establishment,Convenience / Grocery Store,Public Health-Food Establishment-Convenience/Grocery Store,148
Public Health,Food Establishment,Education / Health,Public Health-Food Establishment-Education / Health,8
Public Health,Food Establishment,Food Truck,Public Health-Food Establishment-Food Truck,20
Public Health,Food Establishment,Other,Public Health-Food Establishment-Other,90
Public Health,Food Establishment,Restaurant,Public Health-Food Establishment-Restaurant,1145
Public Health,Hotel / Motel,Bedbugs,Public Health-Hotel / Motel-Bedbugs,44
Public Health,Hotel / Motel,Other,Public Health-Hotel / Motel-Other,31
Public Health,Hotel / Motel,Unsanitary Conditions,Public Health-Hotel / Motel-Unsanitary Conditions,39
Public Health,Noise,All,Public Health-Noise-All,38
Public Health,Noise,Music,Public Health-Noise-Music,621
Public Health,Noise,Other,Public Health-Noise-Other,312
Public Health,Noise,Trash Truck,Public Health-Noise-Trash Truck,105
Public Health,Noise,Vehicles,Public Health-Noise-Vehicles,115
Public Health,Outdoor Air Quality,All,Public Health-Outdoor Air Quality-All,276
Public Health,Pool / Hot Tub,Public,Public Health-Pool / Hot Tub-Public,39
Public Health,Public Restroom,Other,Public Health-Public Restroom-Other,14
Public Health,Public Restroom,Restaurant,Public Health-Public Restroom-Restaurant,2
Public Health,Services,Bedbugs,Public Health-Services-Bedbugs,14
Public Health,Services,Call Back Request,Public Health-Services-Call Back Request,4
Public Health,Services,Feedback,Public Health-Services-Feedback,15
Public Health,Services,Healthy Homes Information,Public Health-Services-Healthy Homes Information,2917
Public Health,Services,Lead Poisoning Prevention Info,Public Health-Services-Lead Poisoning Prevention Info,5
Public Health,Services,Pest Management Class,Public Health-Services-Pest Management Class,1
Public Health,Services,Question,Public Health-Services-Question,21
Public Health,Services,Service Issue / Problem,Public Health-Services-Service Issue / Problem,53
Public Health,Smoking / Tobacco,Public Building,Public Health-Smoking / Tobacco-Public Building,15
Public Health,Smoking / Tobacco,Restaurant,Public Health-Smoking / Tobacco-Restaurant,2
Public Safety,Ambulance,Billing / Administration,Public Safety-Ambulance-Billing / Administration,2
Public Safety,Emergency Management,Weather Siren,Public Safety-Emergency Management-Weather Siren,28
Public Safety,Fire,Carbon Monoxide,Public Safety-Fire-Carbon monoxide,2
Public Safety,Fire,Fire Investigation,Public Safety-Fire-Fire Investigation,11
Public Safety,Fire,Hazardous Materials,Public Safety-Fire-Hazardous materials,6
Public Safety,Fire,New Smoke Alarm Request,Public Safety-Fire-New smoke alarm request,7
Public Safety,Fire,Permit (Fireworks),Public Safety-Fire-Permit (Fireworks),1
Public Safety,Fire,Question / Feedback,Public Safety-Fire-Question / Feedback,31
Public Safety,Fire,Smell or See Smoke,Public Safety-Fire-Smell or see smoke,20
Public Safety,Municipal Court,Accommodations,Public Safety-Municipal Court-Accommodations,5
Public Safety,Municipal Court,Address Change,Public Safety-Municipal Court-Address Change,38
Public Safety,Municipal Court,Compliance Letter,Public Safety-Municipal Court-Compliance Letter,28
Public Safety,Municipal Court,Continuance,Public Safety-Municipal Court-Continuance,92
Public Safety,Municipal Court,Monetary Inquiries,Public Safety-Municipal Court-Monetary Inquiries,6
Public Safety,Municipal Court,Probation,Public Safety-Municipal Court-Probation,3
Public Safety,Municipal Court,Question / Feedback,Public Safety-Municipal Court-Question / Feedback,64
Public Safety,Police,Homeless Camp,Public Safety-Police-Homeless camp,766
Public Safety,Police,Other,Public Safety-Police-Other,334
Public Safety,Regulated Industries,Adult Entertainment,Public Safety-Regulated Industries-Adult Entertainment,7
Public Safety,Regulated Industries,Alcohol Business,Public Safety-Regulated Industries-Alcohol Business,127
Public Safety,Regulated Industries,Day Labor Business,Public Safety-Regulated Industries-Day Labor Business,3
