Parcel Number,Property Class,Property Status,Inventory Type,Zoned As,Address,City,State,Postal Code,County,Neighborhood,Council District,Sold Date,School District,Potential Use,Demo Needed,Market Value Year,Market Value,Square Footage,Property Condition,Structure Square Footage,Number of Bedrooms,Number of Full Baths,Date evaluated,Location 1
JA31320311700000000,Residential Vacant,Reserved,Land Bank,R-2.5,3839 Chestnut Ave,KANSAS CITY,MO,64128,JACKSON,Oak Park Northwest,3rd,,KANSAS CITY MISSOURI 110,,N,2019,2250,4005.69,Vacant lot or land - little or no use,,,,,"3839 Chestnut Ave
KANSAS CITY, MO 64128
(39.055755, -94.551261)"
JA28830222500000000,Residential Improved,Disposed,Land Bank,R-5,3310 Spruce Ave,Kansas City,MO,64128,Jackson,Knoches Park,3rd,09/16/2016,Kansas City Missouri 110,Affordable Housing,N,2012,19098,5431.867396,Structure - fair condition,,,1,08/05/2014,"3310 Spruce Ave
Kansas City, MO 64128
(39.065165, -94.533493)"
JA28910100100000000,Residential Vacant,Acquired,Land Bank,R-2.5,3525 E 28th St,Kansas City,MO,64128,Jackson,Ingleside,3rd,,Kansas City Missouri 110,Side Yard,N,2019,2000,3537.61430556,Vacant lot or land - usable,,,,,"3525 E 28th St
Kansas City, MO 64128
(39.074923, -94.541281)"
JA30740112300000000,Residential Vacant,Acquired,Land Bank,R-6,5628 GARFIELD AVE,KANSAS CITY,MO,64130,Jackson,Blue Hills,5th,,KANSAS CITY MISSOURI 110,"Assemblage, Infill construction, Side Yard, Urban Agriculture",Y,2019,8100,4782.396632,Vacant lot or land - little or no use,,,,06/29/2017,"5628 GARFIELD AVE
KANSAS CITY, MO 64130
(39.023823, -94.561166)"
JA31420111100000000,Residential Vacant,Disposed,Land Bank,R-2.5,4441  CHESTNUT AVE,Kansas City,MO,64130,Jackson,Oak Park Southwest,3rd,12/11/2017,KANSAS CITY MISSOURI 110,"Assemblage, Side Yard",N,2014,1702,4684.562604,Vacant lot or land - little or no use,,,,,"4441  CHESTNUT AVE
Kansas City, MO 64130
(39.04502, -94.551856)"
JA28930121300000000,Residential Vacant,Disposed,Land Bank,R-2.5,3261 Agnes Ave,KANSAS CITY,MO,64128,JACKSON,Oak Park Northwest,3rd,08/24/2020,KANSAS CITY MISSOURI 110,,N,2019,2850,5058.48,Vacant lot or land - usable,,,,,"3261 Agnes Ave
KANSAS CITY, MO 64128
(39.066378, -94.548407)"
JA28220153200000000,Residential Vacant,Disposed,Land Bank,R-2.5,4638 E 8th St,Kansas City,MO,64124,Jackson,Lykins,3rd,12/19/2014,Kansas City Missouri 110,Side Yard,N,2012,2578,3603.071528,Vacant lot or land - little or no use,,,,,"4638 E 8th St
Kansas City, MO 64124
(39.102625, -94.526312)"
JA31320132600000000,Residential Vacant,Disposed,Land Bank,R-2.5,3012 E 37th St,Kansas City,MO,64128,Jackson,Oak Park Northwest,3rd,04/06/2018,Kansas City Missouri 110,Side Yard,N,2012,1702,3449.673056,Vacant lot or land - usable,,,,,"3012 E 37th St
Kansas City, MO 64128
(39.058871, -94.547965)"
JA27310031000000000,Residential Improved,Disposed,Land Bank,R-2.5,661 DITMAN AVE,Kansas City,MO,64125,Jackson,North Blue Ridge,4th,06/26/2017,KANSAS CITY MISSOURI 110,Affordable Housing,N,2014,25777,9672.062639,Structure - fair condition,,,1,03/27/2015,"661 DITMAN AVE
Kansas City, MO 64125
(39.10261, -94.480706)"
JA28810051900000000,Residential Vacant,Acquired,Land Bank,R-2.5,2746 Denver Ave,KANSAS CITY,MO,64128,JACKSON,East Community Team South,3rd,,KANSAS CITY MISSOURI 110,,N,2020,16560,4812.69,,,,,,"2746 Denver Ave
KANSAS CITY, MO 64128
(39.074536, -94.523002)"
49-630-08-02-00-0-00-000,Residential Improved,Disposed,KCMHA,R-7.5,6103 E 96TH ST,Kansas City,MO,64134.0,Jackson,Fairlane,5th,10/02/2014,HICKMAN MILLS 140,Affordable Housing,N,,64240.178,13290.012674,Structure - fair condition,,,,,"6103 E 96TH ST
Kansas City, MO 64134.0
(38.950754, -94.518012)"
30-140-30-17-00-0-00-000,Residential Vacant,Acquired,KCMHA,R-2.5,4244 OLIVE ST,Kansas City,MO,64130.0,Jackson,Ivanhoe Southeast,3rd,,KANSAS CITY MISSOURI 110,,N,2019,8800,3919.22180556,Vacant lot or land - usable,,,,,"4244 OLIVE ST
Kansas City, MO 64130.0
(39.048459, -94.556288)"
JA31320012100000000,Residential Vacant,Disposed,Land Bank,R-2.5,3308 E 36th St,Kansas City,MO,64128,Jackson,Oak Park Northwest,3rd,04/17/2019,Kansas City Missouri 110,Side Yard,N,2012,1702,3798.651632,Vacant lot or land - usable,,,,,"3308 E 36th St
Kansas City, MO 64128
(39.060554, -94.544717)"
JA50430083200000000,Commercial Vacant,Acquired,Land Bank,B1-1,8005 E Bannister Rd,Kansas City,MO,64134,Jackson,Bannister Acres,5th,,Hickman Mills 140,Assemblage,N,2019,10850,8133.356076,Vacant lot or land - little or no use,,,,03/31/2014,"8005 E Bannister Rd
Kansas City, MO 64134
(38.951799, -94.495885)"
JA32530093400000000,Residential Vacant,Acquired,Land Bank,Multiple-Refer to City Map,4801 Blue Ridge Cut Off,Kansas City,MO,64133,Jackson,Stayton Meadows,3rd,,Raytown 150,"Assemblage, Public Green Space",N,2019,13000,141305.628403,Vacant lot or land - little or no use,,,,01/02/2014,"4801 Blue Ridge Cut Off
Kansas City, MO 64133
(39.035166, -94.477271)"
JA31420270300000000,Residential Vacant,Disposed,Land Bank,R-2.5,4601 Agnes Ave,Kansas City,MO,64130,Jackson,Oak Park Southwest,3rd,12/13/2019,Kansas City Missouri 110,Side Yard,N,2019,2150,3798.122708,Vacant lot or land - usable,,,,,"4601 Agnes Ave
Kansas City, MO 64130
(39.042533, -94.550108)"
JA28420253100000000,Residential Vacant,Acquired,Land Bank,R-2.5,2023 COLLEGE AVE,KANSAS CITY,MO,64127,Jackson,Washington Wheatley,3rd,,KANSAS CITY MISSOURI 110,,N,2019,3800,5863.793021,Vacant lot or land - usable,,,,03/10/2014,"2023 COLLEGE AVE
KANSAS CITY, MO 64127
(39.087191, -94.544513)"
JA28210190500000000,Residential Vacant,Disposed,Land Bank,R-1.5,5426 E 11TH ST,Kansas City,MO,64127,Jackson,Sheffield,4th,07/24/2018,KANSAS CITY MISSOURI 110,,N,2014,2684,19611.312986,Vacant lot or land - usable,,,,,"5426 E 11TH ST
Kansas City, MO 64127
(39.098942, -94.51817)"
JA28530124300000000,Residential Vacant,ACQUIRED,Land Bank,R-2.5,2441 Kensington Ave,KANSAS CITY,MO,64127.0,JACKSON,East Community Team South,3rd,,KANSAS CITY MISSOURI 110,,N,2019,2900,5798.54,Vacant lot or land - little or no use,,,,,"2441 Kensington Ave
KANSAS CITY, MO 64127.0
(39.080704, -94.531796)"
JA28520381000000000,Residential Vacant,Acquired,Land Bank,R-2.5,2227 CHELSEA AVE,KANSAS CITY,MO,64127,JACKSON,East Community Team North,3rd,,KANSAS CITY MISSOURI 110,,N,2019,3100,6018.93191,Vacant lot or land - little or no use,,,,,"2227 CHELSEA AVE
KANSAS CITY, MO 64127
(39.084237, -94.526556)"
JA31320323100000000,Residential Improved,Disposed,Land Bank,R-2.5,3816 CHESTNUT AVE,KANSAS CITY,MO,64128,JACKSON,Oak Park Northwest,3rd,09/15/2016,KANSAS CITY MISSOURI 110,Affordable Housing,N,2015,18701,20074.624792,Structure - fair condition,,,,,"3816 CHESTNUT AVE
KANSAS CITY, MO 64128
(39.056605, -94.551215)"
JA48120290200000000,Residential Improved,Disposed,Land Bank,R-6,8601 Highland Ave,Kansas City,MO,64131,Jackson,Legacy East,5th,01/12/2016,Center 120,Affordable Housing,Y,2012,9324,6864.656042,Structure - fair condition,475,1,1,,"8601 Highland Ave
Kansas City, MO 64131
(38.971146, -94.56862)"
JA31310210700000000,Residential Vacant,Acquired,Land Bank,R-2.5,3715 Askew Ave,Kansas City,MO,64128,Jackson,Palestine West And Oak Park Northeast,3rd,,Kansas City Missouri 110,Side Yard,N,2019,3100,5943.01083333,Vacant lot or land - usable,,,,,"3715 Askew Ave
Kansas City, MO 64128
(39.058089, -94.541963)"
JA31940171600000000,Residential Improved,Acquired,Land Bank,R-6,3910 E 58TH TER,Kansas City,MO,64128,Jackson,Swope Parkway-Elmwood,5th,,KANSAS CITY MISSOURI 110,Affordable Housing,N,2019,35109,6269.322431,Structure - fair condition,1314,3,1,12/10/2015,"3910 E 58TH TER
Kansas City, MO 64128
(39.019753, -94.539908)"
JA13720034000000000,Residential Vacant,Reserved,KCMHA,R-2.5,422 N Chouteau Tfwy,Kansas City,MO,64123,Jackson,North Indian Mound,4th,02/07/2020,Kansas City Missouri 110,Assemblage,N,2019,23250,12045.389132,Vacant lot or land - little or no use,,,,,"422 N Chouteau Tfwy
Kansas City, MO 64123
(39.117278, -94.50798)"
JA29610310800000000,Residential Vacant,Disposed,Land Bank,R-1.5,2129 PARK AVE,KANSAS CITY,MO,64127,Jackson,Wendell Phillips,3rd,07/22/2014,KANSAS CITY MISSOURI 110,Side Yard,N,2012,793,3462.705972,Vacant lot or land - usable,,,,,"2129 PARK AVE
KANSAS CITY, MO 64127
(39.085697, -94.55554)"
JA46220050400000000,Residential Improved,Acquired,Land Bank,R-6,4507 E 59TH ST,KANSAS CITY,MO,64130,Jackson,Swope Parkway-Elmwood,5th,,KANSAS CITY MISSOURI 110,Affordable Housing,Y,2019,23073,5975.159965,Structure - fair condition,1955,2,1,03/07/2014,"4507 E 59TH ST
KANSAS CITY, MO 64130
(39.018517, -94.533286)"
JA28230121900000000,Residential Vacant,Acquired,Land Bank,R-2.5,1522 Elmwood Ave,KANSAS CITY,MO,64127,JACKSON,East Community Team North,3rd,,KANSAS CITY MISSOURI 110,,N,2020,19924,5793.47,,,,,,"1522 Elmwood Ave
KANSAS CITY, MO 64127
(39.09321, -94.528895)"
JA28440122100000000,RESIDENTIAL VACANT,Disposed,Land Bank,R-2.5,3816 E 25th St,KANSAS CITY,MO,64127.0,JACKSON,East Community Team South,3rd,10/30/2017,KANSAS CITY MISSOURI 110,Assemblage,N,2016,209,2435.13,Awaiting evaluation,,,,,"3816 E 25th St
KANSAS CITY, MO 64127.0
(39.080227, -94.537719)"
JA28530320100000000,Residential Vacant,Acquired,Land Bank,R-2.5,2600  BRIGHTON AVE,Kansas City,MO,64127,Jackson,East Community Team South,3rd,,KANSAS CITY MISSOURI 110,Side Yard,N,2019,3950,8467.957257,Vacant lot or land - usable,,,,,"2600  BRIGHTON AVE
Kansas City, MO 64127
(39.077927, -94.52479)"
JA31330172900000000,Residential Vacant,Disposed,Land Bank,R-2.5,4118 Benton Blvd,Kansas City,MO,64130,Jackson,Oak Park Southwest,3rd,12/07/2016,Kansas City Missouri 110,Side Yard,N,2012,1276,3866.322049,Vacant lot or land - usable,,,,,"4118 Benton Blvd
Kansas City, MO 64130
(39.051015, -94.546934)"
JA28420170300000000,Residential Vacant,Acquired,Land Bank,R-2.5,3019 E 19TH ST,Kansas City,MO,64127,Jackson,Washington Wheatley,3rd,,KANSAS CITY MISSOURI 110,,N,2019,2250,3012.665208,Vacant lot or land - usable,,,,,"3019 E 19TH ST
Kansas City, MO 64127
(39.08975, -94.546319)"
30-140-01-24-00-0-00-000,Residential Vacant,Disposed,KCMHA,B3-2,3942 PROSPECT AVE,Kansas City,MO,64130.0,Jackson,Ivanhoe Southeast,3rd,09/02/2014,KANSAS CITY MISSOURI 110,Commercial Use,Y,,21488,4513.171667,Structure - severely distressed,,,,,"3942 PROSPECT AVE
Kansas City, MO 64130.0
(39.053867, -94.553679)"
JA31330293900000000,Residential Vacant,Acquired,Land Bank,R-2.5,4208 College,Kansas City,MO,64130,Jackson,Oak Park Southeast,3rd,,Kansas City Missouri 110,Side Yard,N,2019,2600,4596.802535,Vacant lot or land - usable,,,,,"4208 College
Kansas City, MO 64130
(39.049323, -94.545825)"
JA46320120900000000,Residential Improved,Acquired,Land Bank,R-2.5,3017 E 60TH ST,Kansas City,MO,64130,Jackson,South Town Fork Creek,5th,,KANSAS CITY MISSOURI 110,Affordable Housing,N,2019,21944,6043.713021,Structure - severely distressed,895,3,1,01/08/2015,"3017 E 60TH ST
Kansas City, MO 64130
(39.017444, -94.550211)"
JA30620123300000000,Residential Vacant,Disposed,KCMHA,R-1.5,4401  VIRGINIA AVE,Kansas City,MO,64110,Jackson,Manheim Park,3rd,06/25/2020,KANSAS CITY MISSOURI 110,Public Purpose,N,2019,20750,11615.624444,Vacant lot or land - usable,,,,,"4401  VIRGINIA AVE
Kansas City, MO 64110
(39.04692, -94.569077)"
JA31330153000000000,Residential Improved,Disposed,Land Bank,R-2.5,3609 NORTON,KANSAS CITY,MO,64128,Jackson,Oak Park Southeast,3rd,03/27/2018,KANSAS CITY MISSOURI 110,,N,2012,14098,4129.221944,Structure - good condition,,,1,,"3609 NORTON
KANSAS CITY, MO 64128
(39.060023, -94.536058)"
JA28520372900000000,Residential Vacant,Acquired,Land Bank,R-2.5,2210 Brighton Ave,Kansas City,MO,64127,Jackson,East Community Team North,3rd,,Kansas City Missouri 110,Assemblage,N,2019,2250,4047.81802083,Vacant lot or land - usable,,,,,"2210 Brighton Ave
Kansas City, MO 64127
(39.084805, -94.524431)"
JA28520430600000000,Residential Vacant,Acquired,Land Bank,R-2.5,2209 Spruce Ave,Kansas City,MO,64127,Jackson,East Community Team North,3rd,,Kansas City Missouri 110,Side Yard,N,2019,2700,4865.42555556,Vacant lot or land - usable,,,,,"2209 Spruce Ave
Kansas City, MO 64127
(39.085065, -94.532601)"
JA30740193000000000,Residential Vacant,Disposed,Land Bank,R-6,5714 Olive St,Kansas City,MO,64130,Jackson,Blue Hills,5th,07/01/2014,Kansas City Missouri 110,Side Yard,N,2012,2930,4490.215278,Vacant lot or land - usable,,,,12/31/2013,"5714 Olive St
Kansas City, MO 64130
(39.022361, -94.55776)"
31-920-21-14-00-0-00-000,Residential Vacant,Acquired,KCMHA,R-2.5,2808 E 54TH ST,Kansas City,MO,64130.0,Jackson,North Town Fork Creek,5th,,KANSAS CITY MISSOURI 110,,N,2019,1900,1250.69586806,Vacant lot or land - usable,,,,,"2808 E 54TH ST
Kansas City, MO 64130.0
(39.028232, -94.552169)"
JA31330092600000000,Residential Vacant,Acquired,Land Bank,R-2.5,4018 Montgall Ave,Kansas City,MO,64130,Jackson,Oak Park Southwest,3rd,,Kansas City Missouri 110,Side Yard,N,2019,2550,4506.06072917,Vacant lot or land - usable,,,,,"4018 Montgall Ave
Kansas City, MO 64130
(39.052613, -94.552582)"
JA29640032702000000,Residential Vacant,Reserved,KCMHA,R-1.5,2318 Olive Street,Kansas City,MO,64127,Jackson,Wendell Phillips,3rd,09/13/2016,Kansas City Missouri 110,,N,2019,40005,6410,Vacant lot or land - usable,,,,,"2318 Olive Street
Kansas City, MO 64127
(39.083739, -94.554464)"
JA28610032500000000,Residential Improved,Disposed,Land Bank,R-2.5,1714 CORRINGTON AVE,KANSAS CITY,MO,64126,Jackson,East Blue Valley,3rd,04/10/2018,KANSAS CITY MISSOURI 110,Affordable Housing,N,2012,10432,3253.070208,Structure - fair condition,,,1,07/03/2014,"1714 CORRINGTON AVE
KANSAS CITY, MO 64126
(39.089287, -94.49895)"
JA31320252200000000,Residential Vacant,Acquired,Land Bank,R-2.5,3746 INDIANA AVE,KANSAS CITY,MO,64128,Jackson,Oak Park Northwest,3rd,,KANSAS CITY MISSOURI 110,"Assemblage, Side Yard",Y,2019,2250,4012.540035,Vacant lot or land - little or no use,,,,04/08/2015,"3746 INDIANA AVE
KANSAS CITY, MO 64128
(39.057086, -94.544272)"
JA31340133700000000,Residential Vacant,Acquired,Land Bank,R-2.5,4040 MYRTLE AVE,KANSAS CITY,MO,64130,JACKSON,Vineyard Northwest,3rd,,KANSAS CITY MISSOURI 110,,N,2019,2450,6181.264896,Vacant lot or land - usable,,,,,"4040 MYRTLE AVE
KANSAS CITY, MO 64130
(39.051594, -94.53763)"
JA28430401900000000,Residential Improved,Disposed,Land Bank,R-1.5,2642 BENTON BLVD,KANSAS CITY,MO,64127,Jackson,Washington Wheatley,3rd,02/20/2015,KANSAS CITY MISSOURI 110,Affordable Housing,N,2012,23704,6716.865035,Structure - fair condition,3120,4,3,09/04/2014,"2642 BENTON BLVD
KANSAS CITY, MO 64127
(39.077255, -94.54899)"
30-130-02-24-00-0-00-000,Residential Vacant,Acquired,KCMHA,R-2.5,3938 HIGHLAND AVE,Kansas City,MO,64110.0,Jackson,Ivanhoe Southwest,3rd,,KANSAS CITY MISSOURI 110,,N,2019,4750,2100.605764,Vacant lot or land - usable,,,,,"3938 HIGHLAND AVE
Kansas City, MO 64110.0
(39.054326, -94.564098)"
JA31120160300000000,Residential Vacant,Disposed,Land Bank,R-2.5,3615  BELLAIRE AVE,Kansas City,MO,64129,Jackson,Dunbar,3rd,02/04/2016,KANSAS CITY MISSOURI 110,Side Yard,N,2014,7278,5031.459375,Vacant lot or land - usable,770,2,,04/08/2015,"3615  BELLAIRE AVE
Kansas City, MO 64129
(39.05868, -94.515308)"
JA31520041900000000,Residential Vacant,Acquired,KCMHA,R-2.5,4324  Cypress Avenue,Kansas City,MO,64130.0,Jackson,Vineyard Northwest,3rd,,Kansas City Missouri 110,,N,2019,3900,6995,,,,,,"4324  Cypress Avenue
Kansas City, MO 64130.0
(39.046569, -94.532149)"
JA28310060700000000,Residential Vacant,Acquired,Land Bank,R-2.5,3435 E 6th St,Kansas City,MO,64124,Jackson,Lykins,3rd,,Kansas City Missouri 110,Assemblage,N,2019,4950,4401.933194,Vacant lot or land - usable,,,,,"3435 E 6th St
Kansas City, MO 64124
(39.105011, -94.540113)"
JA14930102700000000,Residential Vacant,Acquired,Land Bank,R-2.5,432 TULLIS AVE,KANSAS CITY,MO,64125,JACKSON,North Blue Ridge,4th,,KANSAS CITY MISSOURI 110,,N,2019,4650,5455.818785,Awaiting evaluation,,,,,"432 TULLIS AVE
KANSAS CITY, MO 64125
(39.108238, -94.487767)"
JA28420421700000000,Residential Improved,Disposed,Land Bank,R-2.5,3006 E 23rd St,Kansas City,MO,64127,Jackson,Washington Wheatley,3rd,10/27/2014,Kansas City Missouri 110,Affordable Housing,N,2012,10720,3369.360208,Structure - fair condition,,,,,"3006 E 23rd St
Kansas City, MO 64127
(39.084398, -94.547225)"
JA29610302000000000,Residential Vacant,Disposed,Land Bank,R-1.5,2104 Park Ave,Kansas City,MO,64127,Jackson,Wendell Phillips,3rd,11/03/2015,Kansas City Missouri 110,Infill construction,N,2012,1054,8119.466146,Vacant lot or land - usable,,,,,"2104 Park Ave
Kansas City, MO 64127
(39.086476, -94.555504)"
JA31310031500000000,Residential Vacant,Acquired,Land Bank,R-2.5,No Address Assigned By City,Kansas City,MO,99999,Jackson,Palestine East,3rd,,Kansas City Missouri 110,,N,2019,800,1443.432083,Vacant lot or land - little or no use,,,,,
JA31830060400000000,Residential Improved,Disposed,Land Bank,R-6,4435 E 56TH ST,Kansas City,MO,64130,Jackson,Swope Parkway-Elmwood,5th,09/25/2018,KANSAS CITY MISSOURI 110,Affordable Housing,N,2014,18477,7046.86184,Structure - fair condition,864,2,1,01/08/2015,"4435 E 56TH ST
Kansas City, MO 64130
(39.023957, -94.532871)"
JA28120170200000000,RESIDENTIAL VACANT,ACQUIRED,Land Bank,R-2.5,801 Fuller Ave,KANSAS CITY,MO,64125.0,JACKSON,Sheffield,4th,,KANSAS CITY MISSOURI 110,,N,2019,5636,3367.8,Awaiting evaluation,,,,,"801 Fuller Ave
KANSAS CITY, MO 64125.0
(39.102246, -94.506337)"
JA47740161700000000,Residential Vacant,Acquired,Land Bank,R-6,8136 Wabash Ave,Kansas City,MO,64132,Jackson,Marlborough Heights/Marlborough Pride,5th,,Center 120,Side Yard,Y,2019,12100,7145.973715,Vacant lot or land - usable,,,,03/18/2014,"8136 Wabash Ave
Kansas City, MO 64132
(38.978585, -94.558986)"
JA28530232900000000,Residential Vacant,Acquired,Land Bank,R-2.5,2524 Spruce Ave,Kansas City,MO,64127,Jackson,East Community Team South,3rd,,Kansas City Missouri 110,Assemblage,N,2019,1700,3060.71357639,Vacant lot or land - usable,,,,,"2524 Spruce Ave
Kansas City, MO 64127
(39.079221, -94.532906)"
JA28420184400000000,Residential Vacant,Acquired,Land Bank,R-2.5,2032 AGNES AVE,KANSAS CITY,MO,64127,Jackson,Washington Wheatley,3rd,,KANSAS CITY MISSOURI 110,,N,2019,1900,3032.141944,Vacant lot or land - usable,,,,03/11/2014,"2032 AGNES AVE
KANSAS CITY, MO 64127
(39.086797, -94.547376)"
JA28110114800000000,Residential Vacant,Acquired,Land Bank,R-2.5,931 Ewing Ave,Kansas City,MO,64125,Jackson,Sheffield,4th,,Kansas City Missouri 110,,N,2019,2300,2037.050903,Vacant lot or land - little or no use,,,,,"931 Ewing Ave
Kansas City, MO 64125
(39.099931, -94.502965)"
JA32910035200000000,Residential Improved,Disposed,KCMHA,R-7.5,5136 Booth,Kansas City,MO,64129,Jackson,Eastwood Hills East,3rd,01/13/2017,Raytown 150,Affordable Housing,N,2014,46556,9057.6,Structure - fair condition,,,1,03/12/2015,"5136 Booth
Kansas City, MO 64129
(39.028116, -94.485949)"
JA30140191400000000,Residential Improved,Disposed,Land Bank,R-2.5,4133 PARK AVE,KANSAS CITY,MO,64130,Jackson,Ivanhoe Southeast,3rd,09/30/2015,KANSAS CITY MISSOURI 110,Affordable Housing,N,2012,16939,6143.375694,Structure - fair condition,986,2,1,12/27/2013,"4133 PARK AVE
KANSAS CITY, MO 64130
(39.0508, -94.557302)"
JA46430212500000000,Residential Vacant,Acquired,Land Bank,R-5,7335 SOUTH BENTON,Kansas City,MO,64132,Jackson,Noble And Gregory Ridge,5th,,KANSAS CITY MISSOURI 110,,N,2019,9550,10160.241295,Vacant lot or land - usable,,,,,
JA47740270200000000,Residential Vacant,Acquired,Land Bank,R-6,8143 Brooklyn Ave,KANSAS CITY,MO,64132,JACKSON,Marlborough Heights/Marlborough Pride,5th,,CENTER 120,"Assemblage, Infill construction, Urban Agriculture",N,2019,10100,5979.63,Vacant lot or land - usable,,,,,"8143 Brooklyn Ave
KANSAS CITY, MO 64132
(38.97893, -94.562491)"
JA30710011100000000,Residential Improved,Disposed,Land Bank,R-6,5129 WABASH AVE,KANSAS CITY,MO,64130,Jackson,Blue Hills,5th,07/11/2018,KANSAS CITY MISSOURI 110,Affordable Housing,N,2012,21491,6002.214514,Structure - fair condition,,2,1,01/13/2014,"5129 WABASH AVE
KANSAS CITY, MO 64130
(39.032751, -94.555952)"
JA30640251100000000,RESIDENTIAL IMPROVED,Disposed,Land Bank,R-6,4935 Michigan Ave,KANSAS CITY,MO,64130.0,JACKSON,Blue Hills,3rd,07/24/2017,KANSAS CITY MISSOURI 110,Affordable Housing,N,2016,19146,4685.29,Awaiting evaluation,,,,,"4935 Michigan Ave
KANSAS CITY, MO 64130.0
(39.036368, -94.562755)"
28-920-13-14-00-0-00-000,Residential Vacant,Disposed,KCMHA,R-5,3204 E 30TH ST,Kansas City,MO,64128.0,Jackson,Santa Fe,3rd,12/03/2014,KANSAS CITY MISSOURI 110,Side Yard,N,,1406,7762.212292,Vacant lot or land - usable,,,,,"3204 E 30TH ST
Kansas City, MO 64128.0
(39.071444, -94.545847)"
JA28810151200000000,Residential Vacant,Acquired,Land Bank,R-2.5,2823 OAKLEY AVE,KANSAS CITY,MO,64128,Jackson,South Blue Valley,3rd,,KANSAS CITY MISSOURI 110,Side Yard,Y,2019,3000,5959.957917,Vacant lot or land - usable,,,,,"2823 OAKLEY AVE
KANSAS CITY, MO 64128
(39.073586, -94.518082)"
JA28410160900000000,Residential Vacant,Acquired,Land Bank,R-2.5,NO ADDRESS ASSIGNED BY CITY,Kansas City,MO,64127,Jackson,East Community Team North,3rd,,KANSAS CITY MISSOURI 110,,N,2019,1750,3120.912083,Vacant lot or land - little or no use,,,,,
46-420-13-01-00-0-00-000,Residential Vacant,Acquired,KCMHA,R-5,3021 E 68TH ST,Kansas City,MO,64132.0,Jackson,Self Help Neighborhood Council,5th,,KANSAS CITY MISSOURI 110,,Y,2019,6200,4255.628507,Vacant lot or land - usable,,,,05/22/2014,"3021 E 68TH ST
Kansas City, MO 64132.0
(39.003192, -94.550975)"
30-640-20-15-00-0-00-000,Residential Vacant,Acquired,KCMHA,R-6,4929 OLIVE ST,Kansas City,MO,64130.0,Jackson,Blue Hills,3rd,,KANSAS CITY MISSOURI 110,,N,2019,9100,5372.58302083,Vacant lot or land - usable,,,,,"4929 OLIVE ST
Kansas City, MO 64130.0
(39.036232, -94.556929)"
30-710-31-01-00-0-00-000,Residential Vacant,Acquired,KCMHA,R-6,5400 WABASH AVE,Kansas City,MO,64130.0,Jackson,Blue Hills,5th,,KANSAS CITY MISSOURI 110,Affordable Housing,N,2019,9400,5933.57368056,Vacant lot or land - usable,,,1,,"5400 WABASH AVE
Kansas City, MO 64130.0
(39.028292, -94.556224)"
JA28530231700000000,Residential Vacant,Acquired,Land Bank,R-2.5,2536 Spruce Ave,Kansas City,MO,64127,Jackson,East Community Team South,3rd,,Kansas City Missouri 110,Side Yard,N,2019,2300,4086.79017361,Vacant lot or land - usable,,,,,"2536 Spruce Ave
Kansas City, MO 64127
(39.078804, -94.532927)"
28-920-21-01-00-0-00-000,Residential Vacant,Reserved,KCMHA,R-2.5,3119 E 30TH ST,Kansas City,MO,64128.0,Jackson,Santa Fe,3rd,,KANSAS CITY MISSOURI 110,,N,2019,2400,4280.303542,Vacant lot or land - usable,,,,,"3119 E 30TH ST
Kansas City, MO 64128.0
(39.071456, -94.546137)"
JA30130312400000000,Residential Vacant,Acquired,Land Bank,R-2.5,1614 E 43RD ST,Kansas City,MO,64109,Jackson,Ivanhoe Southwest,3rd,,KANSAS CITY MISSOURI 110,Side Yard,N,2019,7600,3390.145,Vacant lot or land - usable,,,,,"1614 E 43RD ST
Kansas City, MO 64109
(39.048638, -94.56471)"
JA30640282100000000,Residential Improved,Disposed,Land Bank,R-6,5040 EUCLID AVE,KANSAS CITY,MO,64130,Jackson,Blue Hills,3rd,10/07/2015,KANSAS CITY MISSOURI 110,Affordable Housing,N,2012,27267,9657.72625,Structure - fair condition,1456,2,1,12/31/2013,"5040 EUCLID AVE
KANSAS CITY, MO 64130
(39.034273, -94.561721)"
JA28510041900000000,Residential Vacant,Acquired,Land Bank,Multiple-Refer to City Map,5400 E 20th St,Kansas City,MO,64127,Jackson,Central Blue Valley And Park Tower Gardens,3rd,,Kansas City Missouri 110,,N,2019,5950,13218.828403,Vacant lot or land - usable,,,,02/10/2014,"5400 E 20th St
Kansas City, MO 64127
(39.086869, -94.519093)"
JA28620051600000000,Residential Vacant,Acquired,Land Bank,R-2.5,1712 BELLAIRE AVE,Kansas City,MO,64109,Jackson,Central Blue Valley And Park Tower Gardens,3rd,,KANSAS CITY MISSOURI 110,Side Yard,N,2019,2600,4854.17947917,Vacant lot or land - little or no use,,,,,"1712 BELLAIRE AVE
Kansas City, MO 64109
(39.089785, -94.513795)"
JA29630273900000000,Residential Improved,Disposed,Land Bank,R-1.5,2510 Woodland Ave,Kansas City,MO,64108,Jackson,Wendell Phillips,3rd,07/10/2014,Kansas City Missouri 110,,Y,2012,2294,3911.671111,Structure - fair condition,,,,,"2510 Woodland Ave
Kansas City, MO 64108
(39.080623, -94.561562)"
JA13930264600000000,Residential Vacant,Acquired,Land Bank,R-6,2626 AMIE CT,KANSAS CITY,MO,64124,Jackson,Pendleton Heights,3rd,,KANSAS CITY MISSOURI 110,Assemblage,N,2019,800,204.15427083,Vacant lot or land - usable,,,,,"2626 AMIE CT
KANSAS CITY, MO 64124
(39.108527, -94.550176)"
